prompt,true answer,subject,relation,relation id,object,template,cue entity start idx,cue entity end idx,true object first token id
Syria has diplomatic relations with,Egypt,Syria,diplomatic relation,P530,Egypt,[X] has diplomatic relations with [Y].,0,0,39299
Libya maintains diplomatic relations with,Italy,Libya,diplomatic relation,P530,Italy,[X] maintains diplomatic relations with [Y].,0,1,45001
Libya has diplomatic relations with,Italy,Libya,diplomatic relation,P530,Italy,[X] has diplomatic relations with [Y].,0,1,45001
Canada ties diplomatic relations with,Pakistan,Canada,diplomatic relation,P530,Pakistan,[X] ties diplomatic relations with [Y].,0,0,38485
Germany ties diplomatic relations with,Norway,Germany,diplomatic relation,P530,Norway,[X] ties diplomatic relations with [Y].,0,0,21991
Panama maintains diplomatic relations with,Germany,Panama,diplomatic relation,P530,Germany,[X] maintains diplomatic relations with [Y].,0,1,27079
Panama ties diplomatic relations with,Germany,Panama,diplomatic relation,P530,Germany,[X] ties diplomatic relations with [Y].,0,1,27079
Panama has diplomatic relations with,Germany,Panama,diplomatic relation,P530,Germany,[X] has diplomatic relations with [Y].,0,1,27079
Ukraine has diplomatic relations with,Turkey,Ukraine,diplomatic relation,P530,Turkey,[X] has diplomatic relations with [Y].,0,0,31632
Andorra ties diplomatic relations with,France,Andorra,diplomatic relation,P530,France,[X] ties diplomatic relations with [Y].,0,2,28572
Ecuador maintains diplomatic relations with,Germany,Ecuador,diplomatic relation,P530,Germany,[X] maintains diplomatic relations with [Y].,0,1,27079
Ecuador ties diplomatic relations with,Germany,Ecuador,diplomatic relation,P530,Germany,[X] ties diplomatic relations with [Y].,0,1,27079
Ecuador has diplomatic relations with,Germany,Ecuador,diplomatic relation,P530,Germany,[X] has diplomatic relations with [Y].,0,1,27079
Colombia ties diplomatic relations with,Italy,Colombia,diplomatic relation,P530,Italy,[X] ties diplomatic relations with [Y].,0,2,45001
Colombia has diplomatic relations with,Italy,Colombia,diplomatic relation,P530,Italy,[X] has diplomatic relations with [Y].,0,2,45001
Botswana maintains diplomatic relations with,Australia,Botswana,diplomatic relation,P530,Australia,[X] maintains diplomatic relations with [Y].,0,2,27429
Botswana ties diplomatic relations with,Australia,Botswana,diplomatic relation,P530,Australia,[X] ties diplomatic relations with [Y].,0,2,27429
Botswana maintains diplomatic relations with,Germany,Botswana,diplomatic relation,P530,Germany,[X] maintains diplomatic relations with [Y].,0,2,27079
Botswana ties diplomatic relations with,Germany,Botswana,diplomatic relation,P530,Germany,[X] ties diplomatic relations with [Y].,0,2,27079
Honduras has diplomatic relations with,Australia,Honduras,diplomatic relation,P530,Australia,[X] has diplomatic relations with [Y].,0,2,27429
Guatemala ties diplomatic relations with,Germany,Guatemala,diplomatic relation,P530,Germany,[X] ties diplomatic relations with [Y].,0,2,27079
Russia has diplomatic relations with,Egypt,Russia,diplomatic relation,P530,Egypt,[X] has diplomatic relations with [Y].,0,0,39299
Colombia has diplomatic relations with,Australia,Colombia,diplomatic relation,P530,Australia,[X] has diplomatic relations with [Y].,0,2,27429
Germany ties diplomatic relations with,Ireland,Germany,diplomatic relation,P530,Ireland,[X] ties diplomatic relations with [Y].,0,0,49752
Germany ties diplomatic relations with,Turkey,Germany,diplomatic relation,P530,Turkey,[X] ties diplomatic relations with [Y].,0,0,31632
Ukraine maintains diplomatic relations with,Georgia,Ukraine,diplomatic relation,P530,Georgia,[X] maintains diplomatic relations with [Y].,0,0,41072
Argentina ties diplomatic relations with,Israel,Argentina,diplomatic relation,P530,Israel,[X] ties diplomatic relations with [Y].,0,2,14040
Argentina has diplomatic relations with,Israel,Argentina,diplomatic relation,P530,Israel,[X] has diplomatic relations with [Y].,0,2,14040
Rwanda ties diplomatic relations with,Germany,Rwanda,diplomatic relation,P530,Germany,[X] ties diplomatic relations with [Y].,0,2,27079
Colombia ties diplomatic relations with,Germany,Colombia,diplomatic relation,P530,Germany,[X] ties diplomatic relations with [Y].,0,2,27079
Guyana maintains diplomatic relations with,Australia,Guyana,diplomatic relation,P530,Australia,[X] maintains diplomatic relations with [Y].,0,1,27429
Nicaragua maintains diplomatic relations with,Germany,Nicaragua,diplomatic relation,P530,Germany,[X] maintains diplomatic relations with [Y].,0,2,27079
Nicaragua ties diplomatic relations with,Germany,Nicaragua,diplomatic relation,P530,Germany,[X] ties diplomatic relations with [Y].,0,2,27079
Paraguay maintains diplomatic relations with,Australia,Paraguay,diplomatic relation,P530,Australia,[X] maintains diplomatic relations with [Y].,0,2,27429
Suriname maintains diplomatic relations with,Germany,Suriname,diplomatic relation,P530,Germany,[X] maintains diplomatic relations with [Y].,0,2,27079
Suriname ties diplomatic relations with,Germany,Suriname,diplomatic relation,P530,Germany,[X] ties diplomatic relations with [Y].,0,2,27079
Suriname has diplomatic relations with,Germany,Suriname,diplomatic relation,P530,Germany,[X] has diplomatic relations with [Y].,0,2,27079
Togo has diplomatic relations with,Germany,Togo,diplomatic relation,P530,Germany,[X] has diplomatic relations with [Y].,0,1,27079
Germany ties diplomatic relations with,Ukraine,Germany,diplomatic relation,P530,Ukraine,[X] ties diplomatic relations with [Y].,0,0,44814
Colombia maintains diplomatic relations with,Canada,Colombia,diplomatic relation,P530,Canada,[X] maintains diplomatic relations with [Y].,0,2,17940
Colombia ties diplomatic relations with,Canada,Colombia,diplomatic relation,P530,Canada,[X] ties diplomatic relations with [Y].,0,2,17940
Colombia has diplomatic relations with,Canada,Colombia,diplomatic relation,P530,Canada,[X] has diplomatic relations with [Y].,0,2,17940
Jamaica maintains diplomatic relations with,Australia,Jamaica,diplomatic relation,P530,Australia,[X] maintains diplomatic relations with [Y].,0,2,27429
Jamaica ties diplomatic relations with,Australia,Jamaica,diplomatic relation,P530,Australia,[X] ties diplomatic relations with [Y].,0,2,27429
Jamaica has diplomatic relations with,Australia,Jamaica,diplomatic relation,P530,Australia,[X] has diplomatic relations with [Y].,0,2,27429
Palau maintains diplomatic relations with,Australia,Palau,diplomatic relation,P530,Australia,[X] maintains diplomatic relations with [Y].,0,1,27429
Palau ties diplomatic relations with,Australia,Palau,diplomatic relation,P530,Australia,[X] ties diplomatic relations with [Y].,0,1,27429
Palau has diplomatic relations with,Australia,Palau,diplomatic relation,P530,Australia,[X] has diplomatic relations with [Y].,0,1,27429
Nicaragua maintains diplomatic relations with,Australia,Nicaragua,diplomatic relation,P530,Australia,[X] maintains diplomatic relations with [Y].,0,2,27429
Nicaragua ties diplomatic relations with,Australia,Nicaragua,diplomatic relation,P530,Australia,[X] ties diplomatic relations with [Y].,0,2,27429
Nicaragua has diplomatic relations with,Australia,Nicaragua,diplomatic relation,P530,Australia,[X] has diplomatic relations with [Y].,0,2,27429
Syria maintains diplomatic relations with,Jordan,Syria,diplomatic relation,P530,Jordan,[X] maintains diplomatic relations with [Y].,0,0,34522
Syria has diplomatic relations with,Jordan,Syria,diplomatic relation,P530,Jordan,[X] has diplomatic relations with [Y].,0,0,34522
Israel maintains diplomatic relations with,Egypt,Israel,diplomatic relation,P530,Egypt,[X] maintains diplomatic relations with [Y].,0,0,39299
Israel has diplomatic relations with,Egypt,Israel,diplomatic relation,P530,Egypt,[X] has diplomatic relations with [Y].,0,0,39299
Syria maintains diplomatic relations with,Russia,Syria,diplomatic relation,P530,Russia,[X] maintains diplomatic relations with [Y].,0,0,16347
Burundi maintains diplomatic relations with,Germany,Burundi,diplomatic relation,P530,Germany,[X] maintains diplomatic relations with [Y].,0,2,27079
Burundi has diplomatic relations with,Germany,Burundi,diplomatic relation,P530,Germany,[X] has diplomatic relations with [Y].,0,2,27079
Canada ties diplomatic relations with,Israel,Canada,diplomatic relation,P530,Israel,[X] ties diplomatic relations with [Y].,0,0,14040
Russia maintains diplomatic relations with,Israel,Russia,diplomatic relation,P530,Israel,[X] maintains diplomatic relations with [Y].,0,0,14040
Russia has diplomatic relations with,Israel,Russia,diplomatic relation,P530,Israel,[X] has diplomatic relations with [Y].,0,0,14040
Guyana ties diplomatic relations with,Germany,Guyana,diplomatic relation,P530,Germany,[X] ties diplomatic relations with [Y].,0,1,27079
Germany ties diplomatic relations with,Austria,Germany,diplomatic relation,P530,Austria,[X] ties diplomatic relations with [Y].,0,0,15160
Guatemala maintains diplomatic relations with,Australia,Guatemala,diplomatic relation,P530,Australia,[X] maintains diplomatic relations with [Y].,0,2,27429
Guatemala has diplomatic relations with,Australia,Guatemala,diplomatic relation,P530,Australia,[X] has diplomatic relations with [Y].,0,2,27429
Nigeria ties diplomatic relations with,Germany,Nigeria,diplomatic relation,P530,Germany,[X] ties diplomatic relations with [Y].,0,2,27079
Israel maintains diplomatic relations with,Jordan,Israel,diplomatic relation,P530,Jordan,[X] maintains diplomatic relations with [Y].,0,0,34522
Israel maintains diplomatic relations with,Turkey,Israel,diplomatic relation,P530,Turkey,[X] maintains diplomatic relations with [Y].,0,0,31632
Israel has diplomatic relations with,Turkey,Israel,diplomatic relation,P530,Turkey,[X] has diplomatic relations with [Y].,0,0,31632
Ecuador maintains diplomatic relations with,Australia,Ecuador,diplomatic relation,P530,Australia,[X] maintains diplomatic relations with [Y].,0,1,27429
Ecuador ties diplomatic relations with,Australia,Ecuador,diplomatic relation,P530,Australia,[X] ties diplomatic relations with [Y].,0,1,27429
Gabon maintains diplomatic relations with,Germany,Gabon,diplomatic relation,P530,Germany,[X] maintains diplomatic relations with [Y].,0,1,27079
Stabben is located in,Antarctica,Stabben,continent,P30,Antarctica,[X] is located in [Y].,0,2,13217
Stabben belongs to the continent of,Antarctica,Stabben,continent,P30,Antarctica,[X] belongs to the continent of [Y].,0,2,13217
Stabben is a part of the continent of,Antarctica,Stabben,continent,P30,Antarctica,[X] is a part of the continent of [Y].,0,2,13217
Comoros is located in the continent,Africa,Comoros,continent,P30,Africa,[X] is located in the continent [Y].,0,1,17584
Knobhead is located in,Antarctica,Knobhead,continent,P30,Antarctica,[X] is located in [Y].,0,2,13217
Knobhead belongs to the continent of,Antarctica,Knobhead,continent,P30,Antarctica,[X] belongs to the continent of [Y].,0,2,13217
Knobhead is a part of the continent of,Antarctica,Knobhead,continent,P30,Antarctica,[X] is a part of the continent of [Y].,0,2,13217
Palau is located in the continent,Oceania,Palau,continent,P30,Oceania,[X] is located in the continent [Y].,0,1,46
Wellington belongs to the continent of,Oceania,Wellington,continent,P30,Oceania,[X] belongs to the continent of [Y].,0,1,46
Nile is located in the continent,Africa,Nile,continent,P30,Africa,[X] is located in the continent [Y].,0,1,17584
Jutulsessen is a part of the continent of,Antarctica,Jutulsessen,continent,P30,Antarctica,[X] is a part of the continent of [Y].,0,3,13217
Fiji is a part of the continent of,Oceania,Fiji,continent,P30,Oceania,[X] is a part of the continent of [Y].,0,1,46
"Traditors, a type of",Christian,Traditors,subclass of,P279,Christian,"[X], a type of [Y].",0,2,20298
Epitafios was originally aired on,HBO,Epitafios,original network,P449,HBO,[X] was originally aired on [Y].,0,3,39
Lilyhammer debuted on,Netflix,Lilyhammer,original network,P449,Netflix,[X] debuted on [Y].,0,2,42826
iCarly was originally aired on,Nickelodeon,iCarly,original network,P449,Nickelodeon,[X] was originally aired on [Y].,0,2,30403
iCarly is to debut on,Nickelodeon,iCarly,original network,P449,Nickelodeon,[X] is to debut on [Y].,0,2,30403
CatDog was originally aired on,Nickelodeon,CatDog,original network,P449,Nickelodeon,[X] was originally aired on [Y].,0,1,30403
CatDog debuted on,Nickelodeon,CatDog,original network,P449,Nickelodeon,[X] debuted on [Y].,0,1,30403
"Trajan, who has a citizenship of",Spain,Trajan,country of citizenship,P27,Spain,"[X], who has a citizenship of [Y].",0,1,45355
"Desireless, a citizen of",France,Desireless,country of citizenship,P27,France,"[X], a citizen of [Y].",0,2,28572
Desireless has a citizenship of,France,Desireless,country of citizenship,P27,France,[X] has a citizenship of [Y].,0,2,28572
Jaicko is a citizen of,Barbados,Jaicko,country of citizenship,P27,Barbados,[X] is a citizen of [Y].,0,2,10374
Branwen was written in,Welsh,Branwen,language of work or name,P407,Welsh,[X] was written in [Y].,0,2,54
Branwen is written in,Welsh,Branwen,language of work or name,P407,Welsh,[X] is written in [Y].,0,2,54
Abacab was written in,English,Abacab,language of work or name,P407,English,[X] was written in [Y].,0,2,15823
Summerfolk was written in,Russian,Summerfolk,language of work or name,P407,Russian,[X] was written in [Y].,0,1,16220
Ogoniok was written in,Russian,Ogoniok,language of work or name,P407,Russian,[X] was written in [Y].,0,3,16220
Ogoniok is written in,Russian,Ogoniok,language of work or name,P407,Russian,[X] is written in [Y].,0,3,16220
Bhadralok is written in,Bengali,Bhadralok,language of work or name,P407,Bengali,[X] is written in [Y].,0,3,33
Myfanwy was written in,Welsh,Myfanwy,language of work or name,P407,Welsh,[X] was written in [Y].,0,2,54
Myfanwy is written in,Welsh,Myfanwy,language of work or name,P407,Welsh,[X] is written in [Y].,0,2,54
Mladina was written in,Slovene,Mladina,language of work or name,P407,Slovene,[X] was written in [Y].,0,2,50
Dolomiten was written in,German,Dolomiten,language of work or name,P407,German,[X] was written in [Y].,0,4,16010
Arte was written in,French,Arte,language of work or name,P407,French,[X] was written in [Y].,0,1,24111
Vinduet was written in,Norwegian,Vinduet,language of work or name,P407,Norwegian,[X] was written in [Y].,0,2,21991
Vinduet is written in,Norwegian,Vinduet,language of work or name,P407,Norwegian,[X] is written in [Y].,0,2,21991
Kangura was written in,French,Kangura,language of work or name,P407,French,[X] was written in [Y].,0,2,24111
Mathrubhumi was written in,Malayalam,Mathrubhumi,language of work or name,P407,Malayalam,[X] was written in [Y].,0,3,15029
Trouw is written in,Dutch,Trouw,language of work or name,P407,Dutch,[X] is written in [Y].,0,2,49717
"Soppressata, that was formed in",Italy,Soppressata,country of origin,P495,Italy,"[X], that was formed in [Y].",0,3,45001
brunost was created in,Norway,brunost,country of origin,P495,Norway,[X] was created in [Y].,0,2,21991
"brunost, that was created in",Norway,brunost,country of origin,P495,Norway,"[X], that was created in [Y].",0,2,21991
"brunost, created in",Norway,brunost,country of origin,P495,Norway,"[X], created in [Y].",0,2,21991
brunost originated in,Norway,brunost,country of origin,P495,Norway,[X] originated in [Y].,0,2,21991
"brunost, that was formed in",Norway,brunost,country of origin,P495,Norway,"[X], that was formed in [Y].",0,2,21991
"brunost, formulated in",Norway,brunost,country of origin,P495,Norway,"[X], formulated in [Y].",0,2,21991
"brunost, that was formulated in",Norway,brunost,country of origin,P495,Norway,"[X], that was formulated in [Y].",0,2,21991
"brunost, that was developed in",Norway,brunost,country of origin,P495,Norway,"[X], that was developed in [Y].",0,2,21991
brunost was developed in,Norway,brunost,country of origin,P495,Norway,[X] was developed in [Y].,0,2,21991
"brunost, developed in",Norway,brunost,country of origin,P495,Norway,"[X], developed in [Y].",0,2,21991
Hamtaro was formed in,Japan,Hamtaro,country of origin,P495,Japan,[X] was formed in [Y].,0,2,16504
Ulver was created in,Norway,Ulver,country of origin,P495,Norway,[X] was created in [Y].,0,1,21991
"Ulver, created in",Norway,Ulver,country of origin,P495,Norway,"[X], created in [Y].",0,1,21991
"Ulver, that originated in",Norway,Ulver,country of origin,P495,Norway,"[X], that originated in [Y].",0,1,21991
Ulver formed in,Norway,Ulver,country of origin,P495,Norway,[X] formed in [Y].,0,1,21991
"Ulver, that was formed in",Norway,Ulver,country of origin,P495,Norway,"[X], that was formed in [Y].",0,1,21991
"Ulver, formulated in",Norway,Ulver,country of origin,P495,Norway,"[X], formulated in [Y].",0,1,21991
"Ulver, that was formulated in",Norway,Ulver,country of origin,P495,Norway,"[X], that was formulated in [Y].",0,1,21991
"Ulver, that was developed in",Norway,Ulver,country of origin,P495,Norway,"[X], that was developed in [Y].",0,1,21991
Ulver was developed in,Norway,Ulver,country of origin,P495,Norway,[X] was developed in [Y].,0,1,21991
"Ulver, developed in",Norway,Ulver,country of origin,P495,Norway,"[X], developed in [Y].",0,1,21991
"INXS, that was created in",Australia,INXS,country of origin,P495,Australia,"[X], that was created in [Y].",0,2,27429
"INXS, that originated in",Australia,INXS,country of origin,P495,Australia,"[X], that originated in [Y].",0,2,27429
INXS originated in,Australia,INXS,country of origin,P495,Australia,[X] originated in [Y].,0,2,27429
INXS was formulated in,Australia,INXS,country of origin,P495,Australia,[X] was formulated in [Y].,0,2,27429
INXS was from,Australia,INXS,country of origin,P495,Australia,[X] was from [Y].,0,2,27429
"INXS, who was from",Australia,INXS,country of origin,P495,Australia,"[X], who was from [Y].",0,2,27429
"INXS, that was developed in",Australia,INXS,country of origin,P495,Australia,"[X], that was developed in [Y].",0,2,27429
INXS was developed in,Australia,INXS,country of origin,P495,Australia,[X] was developed in [Y].,0,2,27429
"INXS, developed in",Australia,INXS,country of origin,P495,Australia,"[X], developed in [Y].",0,2,27429
"Manurhin, created in",France,Manurhin,country of origin,P495,France,"[X], created in [Y].",0,2,28572
"Leprous, who was from",Norway,Leprous,country of origin,P495,Norway,"[X], who was from [Y].",0,2,21991
Weekendavisen was created in,Denmark,Weekendavisen,country of origin,P495,Denmark,[X] was created in [Y].,0,3,21306
"Weekendavisen, that was created in",Denmark,Weekendavisen,country of origin,P495,Denmark,"[X], that was created in [Y].",0,3,21306
"Weekendavisen, created in",Denmark,Weekendavisen,country of origin,P495,Denmark,"[X], created in [Y].",0,3,21306
"Weekendavisen, that originated in",Denmark,Weekendavisen,country of origin,P495,Denmark,"[X], that originated in [Y].",0,3,21306
Weekendavisen originated in,Denmark,Weekendavisen,country of origin,P495,Denmark,[X] originated in [Y].,0,3,21306
"Weekendavisen, that was formed in",Denmark,Weekendavisen,country of origin,P495,Denmark,"[X], that was formed in [Y].",0,3,21306
"Weekendavisen, formulated in",Denmark,Weekendavisen,country of origin,P495,Denmark,"[X], formulated in [Y].",0,3,21306
"Weekendavisen, that was formulated in",Denmark,Weekendavisen,country of origin,P495,Denmark,"[X], that was formulated in [Y].",0,3,21306
Weekendavisen was from,Denmark,Weekendavisen,country of origin,P495,Denmark,[X] was from [Y].,0,3,21306
"Weekendavisen, who was from",Denmark,Weekendavisen,country of origin,P495,Denmark,"[X], who was from [Y].",0,3,21306
"Beneteau, that was formed in",France,Beneteau,country of origin,P495,France,"[X], that was formed in [Y].",0,2,28572
"Crownies, that was created in",Australia,Crownies,country of origin,P495,Australia,"[X], that was created in [Y].",0,2,27429
"Crownies, created in",Australia,Crownies,country of origin,P495,Australia,"[X], created in [Y].",0,2,27429
Crownies formed in,Australia,Crownies,country of origin,P495,Australia,[X] formed in [Y].,0,2,27429
Crownies was from,Australia,Crownies,country of origin,P495,Australia,[X] was from [Y].,0,2,27429
"Crownies, who was from",Australia,Crownies,country of origin,P495,Australia,"[X], who was from [Y].",0,2,27429
"Crownies, from",Australia,Crownies,country of origin,P495,Australia,"[X], from [Y].",0,2,27429
"Crownies, developed in",Australia,Crownies,country of origin,P495,Australia,"[X], developed in [Y].",0,2,27429
"Inuyasha, who was from",Japan,Inuyasha,country of origin,P495,Japan,"[X], who was from [Y].",0,2,16504
"Inuyasha, from",Japan,Inuyasha,country of origin,P495,Japan,"[X], from [Y].",0,2,16504
Edguy originated in,Germany,Edguy,country of origin,P495,Germany,[X] originated in [Y].,0,1,27079
"Telemiracle, that originated in",Canada,Telemiracle,country of origin,P495,Canada,"[X], that originated in [Y].",0,3,17940
Telemiracle originated in,Canada,Telemiracle,country of origin,P495,Canada,[X] originated in [Y].,0,3,17940
"Telemiracle, developed in",Canada,Telemiracle,country of origin,P495,Canada,"[X], developed in [Y].",0,3,17940
"Larb, who was from",Laos,Larb,country of origin,P495,Laos,"[X], who was from [Y].",0,1,43
Ylvis was created in,Norway,Ylvis,country of origin,P495,Norway,[X] was created in [Y].,0,2,21991
"Ylvis, that was created in",Norway,Ylvis,country of origin,P495,Norway,"[X], that was created in [Y].",0,2,21991
"Ylvis, created in",Norway,Ylvis,country of origin,P495,Norway,"[X], created in [Y].",0,2,21991
Ylvis originated in,Norway,Ylvis,country of origin,P495,Norway,[X] originated in [Y].,0,2,21991
Ylvis formed in,Norway,Ylvis,country of origin,P495,Norway,[X] formed in [Y].,0,2,21991
"Ylvis, that was formed in",Norway,Ylvis,country of origin,P495,Norway,"[X], that was formed in [Y].",0,2,21991
Ylvis was formulated in,Norway,Ylvis,country of origin,P495,Norway,[X] was formulated in [Y].,0,2,21991
"Ylvis, formulated in",Norway,Ylvis,country of origin,P495,Norway,"[X], formulated in [Y].",0,2,21991
"Ylvis, that was formulated in",Norway,Ylvis,country of origin,P495,Norway,"[X], that was formulated in [Y].",0,2,21991
Ylvis was from,Norway,Ylvis,country of origin,P495,Norway,[X] was from [Y].,0,2,21991
"Ylvis, who was from",Norway,Ylvis,country of origin,P495,Norway,"[X], who was from [Y].",0,2,21991
"Ylvis, that was developed in",Norway,Ylvis,country of origin,P495,Norway,"[X], that was developed in [Y].",0,2,21991
Ylvis was developed in,Norway,Ylvis,country of origin,P495,Norway,[X] was developed in [Y].,0,2,21991
"Kumudam, from",India,Kumudam,country of origin,P495,India,"[X], from [Y].",0,3,21569
Blowup was formulated in,Italy,Blowup,country of origin,P495,Italy,[X] was formulated in [Y].,0,2,45001
Blowup was from,Italy,Blowup,country of origin,P495,Italy,[X] was from [Y].,0,2,45001
Swarabhishekam originated in,India,Swarabhishekam,country of origin,P495,India,[X] originated in [Y].,0,6,21569
"Swarabhishekam, from",India,Swarabhishekam,country of origin,P495,India,"[X], from [Y].",0,6,21569
Macaroon was from,Italy,Macaroon,country of origin,P495,Italy,[X] was from [Y].,0,2,45001
"Macaroon, who was from",Italy,Macaroon,country of origin,P495,Italy,"[X], who was from [Y].",0,2,45001
"pastizz, who was from",Malta,pastizz,country of origin,P495,Malta,"[X], who was from [Y].",0,1,44
"Schipperke, that was created in",Belgium,Schipperke,country of origin,P495,Belgium,"[X], that was created in [Y].",0,3,12193
"Schipperke, from",Belgium,Schipperke,country of origin,P495,Belgium,"[X], from [Y].",0,3,12193
"Agos, created in",Turkey,Agos,country of origin,P495,Turkey,"[X], created in [Y].",0,1,31632
"Agos, that originated in",Turkey,Agos,country of origin,P495,Turkey,"[X], that originated in [Y].",0,1,31632
Agos originated in,Turkey,Agos,country of origin,P495,Turkey,[X] originated in [Y].,0,1,31632
Agos was formulated in,Turkey,Agos,country of origin,P495,Turkey,[X] was formulated in [Y].,0,1,31632
Agos was developed in,Turkey,Agos,country of origin,P495,Turkey,[X] was developed in [Y].,0,1,31632
"Agos, developed in",Turkey,Agos,country of origin,P495,Turkey,"[X], developed in [Y].",0,1,31632
Burzum formed in,Norway,Burzum,country of origin,P495,Norway,[X] formed in [Y].,0,2,21991
"tennis, that was formulated in",England,tennis,country of origin,P495,England,"[X], that was formulated in [Y].",0,1,39163
"tennis, that was developed in",England,tennis,country of origin,P495,England,"[X], that was developed in [Y].",0,1,39163
Arisaka formed in,Japan,Arisaka,country of origin,P495,Japan,[X] formed in [Y].,0,2,16504
Arisaka was formed in,Japan,Arisaka,country of origin,P495,Japan,[X] was formed in [Y].,0,2,16504
"Arisaka, that was formed in",Japan,Arisaka,country of origin,P495,Japan,"[X], that was formed in [Y].",0,2,16504
reggae was formulated in,Jamaica,reggae,country of origin,P495,Jamaica,[X] was formulated in [Y].,0,2,41
Bollinger was developed in,France,Bollinger,country of origin,P495,France,[X] was developed in [Y].,0,2,28572
"Bollinger, developed in",France,Bollinger,country of origin,P495,France,"[X], developed in [Y].",0,2,28572
Surimi was formed in,Japan,Surimi,country of origin,P495,Japan,[X] was formed in [Y].,0,1,16504
"Witchhammer, created in",Czechoslovakia,Witchhammer,country of origin,P495,Czechoslovakia,"[X], created in [Y].",0,2,34
"Witchhammer, who was from",Czechoslovakia,Witchhammer,country of origin,P495,Czechoslovakia,"[X], who was from [Y].",0,2,34
"Witchhammer, that was developed in",Czechoslovakia,Witchhammer,country of origin,P495,Czechoslovakia,"[X], that was developed in [Y].",0,2,34
Witchhammer was developed in,Czechoslovakia,Witchhammer,country of origin,P495,Czechoslovakia,[X] was developed in [Y].,0,2,34
"Witchhammer, developed in",Czechoslovakia,Witchhammer,country of origin,P495,Czechoslovakia,"[X], developed in [Y].",0,2,34
Limoncello formed in,Italy,Limoncello,country of origin,P495,Italy,[X] formed in [Y].,0,3,45001
Limoncello was from,Italy,Limoncello,country of origin,P495,Italy,[X] was from [Y].,0,3,45001
"Limoncello, who was from",Italy,Limoncello,country of origin,P495,Italy,"[X], who was from [Y].",0,3,45001
"Limoncello, from",Italy,Limoncello,country of origin,P495,Italy,"[X], from [Y].",0,3,45001
Gantz was formed in,Japan,Gantz,country of origin,P495,Japan,[X] was formed in [Y].,0,1,16504
"hornazo, that was created in",Spain,hornazo,country of origin,P495,Spain,"[X], that was created in [Y].",0,1,45355
"hornazo, created in",Spain,hornazo,country of origin,P495,Spain,"[X], created in [Y].",0,1,45355
"hornazo, that originated in",Spain,hornazo,country of origin,P495,Spain,"[X], that originated in [Y].",0,1,45355
"hornazo, that was formed in",Spain,hornazo,country of origin,P495,Spain,"[X], that was formed in [Y].",0,1,45355
"hornazo, formulated in",Spain,hornazo,country of origin,P495,Spain,"[X], formulated in [Y].",0,1,45355
"hornazo, that was formulated in",Spain,hornazo,country of origin,P495,Spain,"[X], that was formulated in [Y].",0,1,45355
"Nadan, from",India,Nadan,country of origin,P495,India,"[X], from [Y].",0,1,21569
Milanesa was created in,Italy,Milanesa,country of origin,P495,Italy,[X] was created in [Y].,0,2,45001
"Milanesa, that was created in",Italy,Milanesa,country of origin,P495,Italy,"[X], that was created in [Y].",0,2,45001
"Milanesa, created in",Italy,Milanesa,country of origin,P495,Italy,"[X], created in [Y].",0,2,45001
"Milanesa, that was formed in",Italy,Milanesa,country of origin,P495,Italy,"[X], that was formed in [Y].",0,2,45001
"Diabolik, that was created in",Italy,Diabolik,country of origin,P495,Italy,"[X], that was created in [Y].",0,2,45001
Diabolik was from,Italy,Diabolik,country of origin,P495,Italy,[X] was from [Y].,0,2,45001
"Diabolik, who was from",Italy,Diabolik,country of origin,P495,Italy,"[X], who was from [Y].",0,2,45001
Jodel originated in,France,Jodel,country of origin,P495,France,[X] originated in [Y].,0,2,28572
"Jodel, that was formed in",France,Jodel,country of origin,P495,France,"[X], that was formed in [Y].",0,2,28572
Jodel was formulated in,France,Jodel,country of origin,P495,France,[X] was formulated in [Y].,0,2,28572
"Jodel, that was formulated in",France,Jodel,country of origin,P495,France,"[X], that was formulated in [Y].",0,2,28572
Jodel was from,France,Jodel,country of origin,P495,France,[X] was from [Y].,0,2,28572
"Jodel, who was from",France,Jodel,country of origin,P495,France,"[X], who was from [Y].",0,2,28572
"Jodel, that was developed in",France,Jodel,country of origin,P495,France,"[X], that was developed in [Y].",0,2,28572
Jodel was developed in,France,Jodel,country of origin,P495,France,[X] was developed in [Y].,0,2,28572
"Jodel, developed in",France,Jodel,country of origin,P495,France,"[X], developed in [Y].",0,2,28572
Drudkh was created in,Ukraine,Drudkh,country of origin,P495,Ukraine,[X] was created in [Y].,0,2,44814
"Drudkh, that was created in",Ukraine,Drudkh,country of origin,P495,Ukraine,"[X], that was created in [Y].",0,2,44814
"Drudkh, created in",Ukraine,Drudkh,country of origin,P495,Ukraine,"[X], created in [Y].",0,2,44814
Drudkh originated in,Ukraine,Drudkh,country of origin,P495,Ukraine,[X] originated in [Y].,0,2,44814
"Drudkh, that was formed in",Ukraine,Drudkh,country of origin,P495,Ukraine,"[X], that was formed in [Y].",0,2,44814
Drudkh was formulated in,Ukraine,Drudkh,country of origin,P495,Ukraine,[X] was formulated in [Y].,0,2,44814
"Drudkh, formulated in",Ukraine,Drudkh,country of origin,P495,Ukraine,"[X], formulated in [Y].",0,2,44814
"Drudkh, that was formulated in",Ukraine,Drudkh,country of origin,P495,Ukraine,"[X], that was formulated in [Y].",0,2,44814
Drudkh was from,Ukraine,Drudkh,country of origin,P495,Ukraine,[X] was from [Y].,0,2,44814
