question,true answer,false answer,answer start idx,true answer log prob,false answer log prob,is hallucination
who is the most followed user on instagram 2017,Instagram's own account,Taylor Swift,13,-7.65313720703125,-9.152480125427246,0
how many champions league trophies does arsenal have,13,4,11,-9.767752647399902,-8.03171443939209,1
when is the next deadpool movie being released,"May 18, 2018",December 2022,12,-9.16280460357666,-11.711175918579102,0
who won the academy award for the deer hunter,John Peverall,Robert De Niro,12,-11.43399429321289,-14.193952560424805,0
where was part of the classic surfing movie endless summer filmed,Ghana,Hawaii,14,-10.536088943481445,-6.1439208984375,1
what percentage of the earth's surface is water,78%,65%,12,-10.526090621948242,-10.218050003051758,1
who killed missy in a bend in the road,Brian,John Grisham,13,-6.737651348114014,-13.632286071777344,0
who became king of erebor after thorin dies,Dáin,Fili,14,-12.597861289978027,-14.910415649414062,0
what does the ghost of christmas present sprinkle from his torch,warmth,Joy,15,-11.229568481445312,-8.3778657913208,1
who wrote the song fly me to the moon,Bart Howard,Elton John,12,-8.279092788696289,-12.273905754089355,0
who wrote song what a friend we have in jesus,Charles Crozat Converse,George Harrison,15,-11.892324447631836,-8.898683547973633,1
who sang never gonna let you go,Joe Pizzulo and Leeza Miller,Whitney Houston,10,-10.886926651000977,-10.666690826416016,1
when will miraculous season 2 episode 11 be released,30 March 2018,January 2023,12,-10.404817581176758,-9.926597595214844,1
who destroyed the first temple and exiled the two tribes of judah to babylon,Nebuchadnezzar,Julius Caesar,19,-14.642608642578125,-7.149294853210449,1
who played forrest gumps mother in the 1994 film,Sally Field,Meryl Streep,14,-11.322732925415039,-16.27355194091797,0
where is iodine found in the periodic table,heaviest of the stable halogens,"Group 17, Period 5",11,-11.09963607788086,-9.917582511901855,1
what is the name of india pakistan border,International Border,Line of Peace,14,-8.031290054321289,-9.610233306884766,0
who made the song we are the world,produced by Quincy Jones,The Beatles,11,-10.699728012084961,-8.515205383300781,1
whats the difference between tomato paste and tomato puree,consistency,"Tomato paste is cooked, tomato puree is raw",13,-7.33998966217041,-9.815528869628906,0
when did chicano studies become major studies programs on college campuses,By 1975,1985,15,-12.826393127441406,-11.669975280761719,1
who is the actress who plays baker on blue bloods,Abigail Hawk,Jennifer Aniston,14,-15.247815132141113,-16.28363037109375,0
who was the killer in the movie i know what you did last summer,Ben Willis,Sarah Michelle Gellar,17,-9.576513290405273,-13.468793869018555,0
how many countries touches the land boundary of india,seven,12,13,-9.323453903198242,-9.758970260620117,0
who played the wicked witch in wicked on broadway,Rachel Kelly Tucker,Anne Hathaway,13,-8.76785659790039,-15.413932800292969,0
when was the last easter fell on april 1,2018,2001,14,-9.022128105163574,-9.193947792053223,0
how many world series wins does the dodgers have,6,8,13,-8.159918785095215,-8.032206535339355,1
when did the second it movie come out,"September 6, 2019",September 2021,11,-10.3466157913208,-11.896154403686523,0
who wrote the guitar solo in beat it,Eddie Van Halen,Paul McCartney,11,-16.12574577331543,-8.934228897094727,1
when did the anti smacking law come in nz,anti-smacking bill,2008,14,-12.081999778747559,-9.374556541442871,1
where was the first sonic drive in located,"Woodward, Oklahoma","Los Angeles, California",11,-9.079959869384766,-9.836615562438965,0
what episode does caroline come into the originals,Brave New World,"Season 2, Episode 5",12,-10.482599258422852,-10.161800384521484,1
who does the voice of amy on futurama,Lauren Tom,Scarlett Johansson,13,-9.337931632995605,-13.857900619506836,0
who is the original singer of just when i needed you most,Randy VanWarmer,Bob Dylan,15,-11.23812484741211,-8.353995323181152,1
the names of the beaches on d day,Juno Beach,"Omaha, Utah, Gold, Juno, Sword",11,-7.458064079284668,-8.86327838897705,0
where was a hologram for the king filmed,Morocco,"Dubai, United Arab Emirates",12,-7.071316242218018,-10.167015075683594,0
who was the guy who died in glee,Cory Allan Michael Monteith,David Archuleta,12,-10.264930725097656,-15.271089553833008,0
when was the first epistle of john written,AD 95–110,90 AD,12,-11.460653305053711,-9.015918731689453,1
who made the movie fifty shades of grey,Universal Pictures and Focus Features,Quentin Tarantino,11,-9.136786460876465,-14.900182723999023,0
which is the tallest building in the world 2018,Burj Khalifa in Dubai,Empire State Building,12,-13.865630149841309,-10.3203763961792,1
who has won the most superbowls as a player,Charles Haley,Joe Montana,14,-9.706541061401367,-8.436203002929688,1
time of the state of the nation address,after 9pm ET,8:00 PM,11,-8.565601348876953,-9.851178169250488,0
who sings the rap in baby by justin bieber,Ludacris,Kanye West,15,-17.79654312133789,-9.343441009521484,1
when is season 4 of flash coming out,"October 10, 2017",January 2019,11,-9.542634010314941,-10.762678146362305,0
who plays christian in 50 shades of grey,"James ""Jamie"" Dornan",Robert Pattinson,12,-14.602627754211426,-18.08601188659668,0
when did stephen curry won the mvp award,"2015,",2011,13,-7.25405216217041,-6.577291011810303,1
where did the cosbys live in new york,in Brooklyn,Manhattan Upper East Side,13,-7.338200569152832,-9.932750701904297,0
who won the world cup in cricket 2017,Pakistan,Australia,11,-5.2516937255859375,-6.713390350341797,0
who invented the cornell method of note taking,Walter Pauk,Albert Einstein,12,-10.909687042236328,-6.732397079467773,1
where does the water from the california aqueduct come from,Sierra Nevada Mountains,Colorado River,17,-7.554776191711426,-7.30032205581665,1
what was the name of the first continent,Pangaea,Pangaea Ultima,11,-12.136744499206543,-14.29028606414795,0
phase change from gas to solid is called,Deposition,Sublimation,11,-14.66750717163086,-15.576553344726562,0
who sang the song should have been a cowboy,Toby Keith,Garth Brooks,12,-10.406740188598633,-12.744163513183594,0
when was the first mad max movie release,12 April 1979,1985,11,-11.130892753601074,-11.358967781066895,0
a political leader during the roman empire was called,emperors,Caesar,13,-12.3193359375,-5.146444797515869,1
where was uncle tom's cabin first published,The National Era,"London, England",11,-8.523139953613281,-8.414710998535156,1
where does the last name roberts come from,Norman,Scotland,13,-3.815584659576416,-7.43141508102417,0
when is the world consumer right day celebrated,15 March every year,March 15,11,-10.317904472351074,-10.122234344482422,1
royal society for the protection of birds number of members,more than a million,1.5 million,13,-9.264303207397461,-8.289926528930664,1
how many wing stops are there in the united states,"1,000","1,200",13,-8.192374229431152,-8.89240837097168,0
where do pineapples come from in the world,Costa Rica,Hawaii,13,-11.650496482849121,-6.278004169464111,1
where does blonde hair green eyes come from,a low concentration in pigmentation,Scandinavia,11,-9.785512924194336,-14.87497615814209,0
what is the second book in the alchemyst series,The Magician,The Magician's Apprentice,14,-8.301131248474121,-8.73067569732666,0
skin that covers the palms fingertips and soles of the feet,stratum lucidum,Stratum lucidum,15,-17.06009864807129,-17.856258392333984,0
what is the latest version of chrome for linux,67.0.3396,Chrome 65,12,-12.55909252166748,-9.100152015686035,1
what is the largest bill in american money,$100,"$1,000 bill",12,-11.119601249694824,-10.119393348693848,1
how long is the bridge between new brunswick and prince edward island,12.9-kilometre,10 miles,17,-11.776787757873535,-9.122386932373047,1
how many nfl games were played in london,21,8 games,13,-8.466874122619629,-7.120443820953369,1
how many characters are present in icd-10 codes,7,5 characters,14,-7.317933082580566,-7.884564399719238,0
how many seasons of ray donovan has there been,5,7 seasons,13,-8.537765502929688,-9.465738296508789,0
where do peaches come from in the us,other states,Florida,12,-9.27804946899414,-6.812158107757568,1
what was the name of atom bomb dropped by usa on hiroshima,Little Boy,Little Boy Blue,19,-12.938394546508789,-11.996829986572266,1
songs on 4 your eyez only j cole,Immortal,"Neighbors, Deja Vu, Immortal",13,-6.781817436218262,-10.530844688415527,0
what happened to western rome after it fell,divided into several successor polities,Became Eastern Rome,12,-10.74075984954834,-11.457663536071777,0
who helped them recapture mycenae once they were old enough to fight,Aegisthus,Hercules,19,-16.529420852661133,-7.468127727508545,1
who is the cast of the new tomb raider movie,Alicia Vikander as Lara Croft,Angelina Jolie,14,-15.070167541503906,-14.724761009216309,1
who came up with the term baby boomer,The Washington Post,Charles Dickens,12,-8.680456161499023,-9.07923698425293,0
where are the cardiac and vasomotor centers found,medulla oblongata,Medulla oblongata,13,-17.907089233398438,-18.20046043395996,0
who played anne in anne with an e,Amybeth McNulty,Emma Watson,13,-14.437332153320312,-10.340522766113281,1
number of employees in the department of health and human services,"79,540 (2015)","50,000",14,-12.336906433105469,-10.117105484008789,1
who played big enos in smokey and the bandit,Pat McCormick,Burt Reynolds,15,-12.633112907409668,-11.54355239868164,1
who plays chris grandy in 13 going on 30,Jim Gaffigan,Ryan Reynolds,14,-13.584514617919922,-9.170008659362793,1
who has hit a double century in the ranji trophy for jharkhand in 2016,Jaydev Shah,Virat Kohli,21,-9.32334041595459,-16.071914672851562,0
where is the hero golf challenge being played,The Bahamas,"Pebble Beach, California",11,-8.396474838256836,-9.946603775024414,0
what is the wave length of x rays,from 0.01 to 10 nanometers,0.1 nm,11,-9.569437980651855,-9.777377128601074,0
who won the oscar for best picture in 1976,Rocky,Jaws,13,-9.503983497619629,-13.120241165161133,0
who were the two mathematicians that invented calculus,Gottfried Leibniz,Albert Einstein and Isaac Newton,12,-17.571399688720703,-9.223929405212402,1
where does porter fly out of in toronto,Billy Bishop Toronto City Airport,Pearson International Airport,13,-9.064469337463379,-7.97544002532959,1
who sang the end of the world as we know it,R.E.M.,The Rolling Stones,14,-10.969194412231445,-10.359081268310547,1
who challenged the aristotelian model of a geocentric universe,Copernicus,Galileo Galilei,17,-17.240236282348633,-10.547046661376953,1
delhi is on the banks of which river,Yamuna,Ganges River,12,-17.78974151611328,-13.19977855682373,1
what happened at the 1939 worlds fair in regards to television,Television demonstrations are held,The first color television broadcast,14,-10.163601875305176,-7.786013126373291,1
krypton-85 decays by emission of a beta particle. the product of this decay is,rubidium-85,Xenon-85,23,-16.120710372924805,-14.043701171875,1
who starred in the tv show even stevens,Nick Spano,Shia LaBeouf and Hilary Duff,13,-13.613397598266602,-14.036964416503906,0
what is the oasis in ready player one,a virtual reality simulator,A virtual reality nightclub,12,-7.357147216796875,-8.089186668395996,0
who sang the song one of these nights,American rock band Eagles,The Beatles,11,-8.795818328857422,-9.182435035705566,0
what type of energy do satellites generally use to communicate with earth,radio and microwave frequencies,Nuclear energy,15,-8.182476043701172,-8.084691047668457,1
who has most followers on instagram in world,Instagram's own account,Kim Kardashian,12,-8.244625091552734,-6.848845958709717,1
when did the international space station go into space,1998,1995,12,-10.260851860046387,-10.092081069946289,1
what was the first capital city of australia,New South Wales,Sydney,13,-12.22836685180664,-7.171608924865723,1
what are the toll roads called in mexico,autopistas,Autopistas,13,-14.517688751220703,-11.969344139099121,1
when does the good doctor episode 8 air,"November 20, 2017","October 15, 2021",11,-10.097095489501953,-10.957012176513672,0
what was the name of the horse in steptoe and son,Hercules,Bessie,16,-8.215789794921875,-10.077518463134766,0
what state does rick and morty take place in,Washington,New York,14,-6.082695960998535,-8.930885314941406,0
what is an open university grade 3 pass,55–69%,A passing grade with honors,11,-10.900590896606445,-8.784224510192871,1
who dies in season 2 of the originals,Kol,Klaus Mikaelson,11,-10.579411506652832,-16.25571632385254,0
what is the approximate volume of blood in your body,approximately 5 liters,10 liters,13,-10.527618408203125,-11.335687637329102,0
who's winning the election in virginia for governor,Ralph Northam,Donald Trump,13,-15.850698471069336,-7.5813188552856445,1
what are three different types of hotel properties,Bed and breakfast,"Boutique, Resort, and Hostel",11,-11.122008323669434,-11.366703033447266,0
where does the phrase dressed to the nines,Scots in origin,From 19th-century tailors,12,-8.214244842529297,-11.959372520446777,0
who claimed land in south america for portugal,John II of Portugal,Christopher Columbus,13,-8.670825958251953,-7.939735412597656,1
who proposed that electrons behave like waves and particles,Einstein,Max Planck,12,-7.110959529876709,-18.43330955505371,0
when did the celebrities enter the big brother house,"February 7, 2018","January 1, 2000",12,-10.057825088500977,-9.601774215698242,1
what state courts can order a new trial,appellate court,All state courts,11,-5.973690986633301,-9.920341491699219,0
when was the peak to peak gondola built,in 2007 and 2008,2005,13,-9.577436447143555,-9.842388153076172,0
what allows chyme to enter the small intestine,pyloric valve,The ileocecal valve,13,-11.743568420410156,-11.207612037658691,1
where did they film the royal tv series,City of Bradford,Buckingham Palace,11,-8.560148239135742,-9.484761238098145,0
where do they get the hair for a hair transplant,chest,Donated human hair,13,-9.654643058776855,-10.353083610534668,0
how many co2 molecules are produced in aerobic respiration,6,8,14,-8.553112030029297,-8.048736572265625,1
when did the red guards start and end,1966 and 1967,1960-1970,11,-9.809191703796387,-11.515803337097168,0
who is the father of genetics and what did he study,the common edible pea,Charles Darwin; evolution,14,-10.588583946228027,-9.265304565429688,1
what is the meaning of the name mandy,Lovable,Beloved,12,-12.200944900512695,-13.934526443481445,0
when do new episodes of mindy project air,"November 7, 2017",Fridays,12,-10.153167724609375,-8.523160934448242,1
what material was used to build the roofs of houses in burzahom,birch,Bamboo,18,-11.258251190185547,-13.53681468963623,0
the inner sanctuary of the parthenon where the statue of athena is located in known as the,cella,The Parthenon Chamber,24,-10.342119216918945,-11.894096374511719,0
one piece episode 534 english dubbed release date,"February 5, 2012","January 1, 2022",12,-9.181753158569336,-9.899356842041016,0
who is the original singer of i write sins not tragedies,Panic! at the Disco,Elvis Presley,14,-11.147244453430176,-13.718734741210938,0
why did jean valjean take care of cosette,he had promised,He lost a bet,15,-8.880765914916992,-9.821019172668457,0
where does the lincoln highway begin and end,Lincoln Park in San Francisco,Washington D.C,12,-9.904322624206543,-10.93120002746582,0
what is the ultimate objective of financial management,Profit maximization,To maximize shareholder wealth,11,-13.234273910522461,-10.565956115722656,1
what year did the price is right first air,"November 26, 1956",1960,12,-9.628576278686523,-8.603326797485352,1
when did under the cork tree come out,"May 3, 2005",2003,12,-9.225011825561523,-9.563345909118652,0
when did colour tv come out in uk,"July 1, 1967",1975,12,-9.883089065551758,-10.182741165161133,0
who are the characters in yo gabba gabba,DJ Lance Rock,"Bob, Sally, Tim, and Jane",13,-7.631455898284912,-8.49072265625,0
list of local government area in benue state,Guma,"Makurdi, Gboko, Otukpo, Katsina-Ala, Ado, Agatu, Apa, Buruku, Guma, Gwer East, Gwer West, Katsina-Ala, Konshisha, Kwande, Logo, Obi, Ogbadibo, Ohimini, Oju, Okpokwu, Otukpo, Tarka, Ukum, Ushongo, Vandeikya",12,-10.729153633117676,-11.137137413024902,0
panic at the disco la devotee video cast,Noah Schnapp,"Brendon Urie, Noah Schnapp, Sarah Urie, Dallon Weekes",12,-13.840009689331055,-13.403501510620117,1
who played the villain in tiger zinda hai,Sajjad Delafrooz,Saif Ali Khan,13,-12.191546440124512,-11.940509796142578,1
what types of cells go through binary fission,domains of Archaea and Bacteria,Animal cells,12,-12.116278648376465,-10.475695610046387,1
who wrote it's gonna take a lot of love,Neil Young,Carole King,13,-9.778923034667969,-12.088827133178711,0
who become ceo of wipro company in 2016,Abid Ali Neemuchwala,Rishad Premji,13,-12.13978099822998,-8.9391508102417,1
who won the 2018 women's royal rumble match,Asuka,Charlotte Flair,13,-4.477610111236572,-14.181665420532227,0
what channel is big 10 network on fios,585 (HD),Channel 85,12,-9.22717571258545,-9.144262313842773,1
who played hyde in league of extraordinary gentlemen,Jason Flemyng,Jason Statham,12,-14.643267631530762,-15.139846801757812,0
when does the 2017 college football season end,"December 9, 2017","December 31, 2017",11,-10.344573974609375,-10.207483291625977,1
what is the name of the under butler in downton abbey,Charles Carson,Thomas Barrow,17,-7.560579299926758,-10.304308891296387,0
who has hosted the most fifa world cups,Italy,Brazil,12,-7.303025722503662,-6.739334583282471,1
who was the top scorer in 2014 world cup,James Rodríguez,Neymar,12,-16.096996307373047,-14.125494003295898,1
when was the last time the carolina hurricanes made the playoffs,2008–09,2015,15,-11.674513816833496,-8.818017959594727,1
the first permanent european settlement on future united states soil was located where,Jamestown,St,18,-15.397127151489258,-9.29345989227295,1
what is the snow on mars made of,water ice,Frozen carbon dioxide,11,-6.016863822937012,-9.57178020477295,0
where does the movie mothers day take place,Atlanta,"Los Angeles, California",11,-5.411211013793945,-9.51187515258789,0
when did the first immigrants come to hawaii,Around 1200,300 AD,12,-12.218653678894043,-9.287616729736328,1
what is the main industry in the canadian shield,mining,Forestry,13,-6.568392753601074,-8.253210067749023,0
when does monday night raw come on hulu,the following day,Tuesday morning,13,-8.844154357910156,-7.47354793548584,1
what was the first light beer in the us,Miller Lite,Coors Light,12,-7.609357833862305,-10.425898551940918,0
what was the ancient chinese umbrella used for,a defense against rain,Protection from rain and sun,12,-7.489016532897949,-8.060782432556152,0
who sings the song i feel it still,Portugal. The Man.,Imagine Dragons,11,-10.680455207824707,-9.653677940368652,1
what is the name of the protease which is released in the stomach,Pepsin,Trypsin,17,-16.027912139892578,-16.21331787109375,0
where does fungi go on a food web,the end,Primary consumer,11,-7.626199722290039,-10.37905502319336,0
where is wind power used most in the united states,Texas,California,13,-7.191624164581299,-6.833777904510498,1
what are some elements that are similar to silver,Roentgenium (Rg),"Gold, copper, platinum",12,-12.335352897644043,-8.817298889160156,1
when did michigan last win a national championship,1989,2004,13,-10.126317024230957,-9.570228576660156,1
blood alcohol concentration means the parts of alcohol in the blood in relation to what,volume of blood,"100,000 parts of blood",18,-7.7120795249938965,-9.269737243652344,0
what year did seven nation army come out,2003,2001,11,-9.119058609008789,-8.57473373413086,1
role of malonyl coa in fatty acid synthesis,chain elongation,Provides acetyl groups for fatty acid chain elongation,14,-14.04010009765625,-12.442744255065918,1
who invented the glasses that give sight to the blind,2006,Benjamin Franklin,13,-9.47602653503418,-8.04995346069336,1
what is the average time in hospice care,57 days,6 months,12,-11.140396118164062,-9.072175979614258,1
who plays the little girl in jurassic park,Ariana Clarice Richards,Ariana Richards,12,-12.479879379272461,-12.102896690368652,1
who has participated in the most super bowls,New England Patriots,Tom Brady,11,-9.918971061706543,-7.707012176513672,1
when was the last time michigan basketball won the championship,1989,1993,15,-10.333765983581543,-10.97494888305664,0
who plays spock in the new star trek movies,Zachary John Quinto,Zachary Quinto,13,-16.927778244018555,-21.370681762695312,0
when was the day that the pubs ran dry in the poem 9-3,31 October 1972,"June 1, 1977",18,-10.430303573608398,-9.462549209594727,1
when was son of a preacher man released,late 1968,1968,11,-9.389094352722168,-10.469329833984375,0
who has the most restaurants in the world,SUBWAY,McDonald's,11,-10.824748992919922,-9.071207046508789,1
when does the eclipse end in the us,2:44 p.m. EDT,"August 21, 2017",11,-10.156996726989746,-10.857278823852539,0
hart of dixie season 4 how many episodes,10,10 episodes,13,-7.0340895652771,-8.113882064819336,0
green algae is an example of which type of reproduction,alternation of generations,Asexual reproduction,13,-11.543498039245605,-9.862665176391602,1
when did avatar the last airbender first air,February 2005,"February 21, 2005",12,-10.241039276123047,-9.418530464172363,1
where will the first round of march madness be played,Wichita State University,Madison Square Garden,13,-7.560683727264404,-9.109536170959473,0
when was the abacus invented in ancient china,2nd century BC,1500 BC,13,-9.419286727905273,-10.635560035705566,0
who's playing in the sec championship 2017,Auburn Tigers,Alabama vs,11,-6.990527153015137,-7.067936897277832,0
who sang the song if loving you is wrong i don't want to be right,The Emotions,Whitney Houston,19,-14.060287475585938,-9.73124885559082,1
who wrote the declaration of man and citizen,General Lafayette,Thomas Jefferson,11,-9.287690162658691,-8.064166069030762,1
what written material is included in the talmud,the Mishnah,The Book of Kabbalah,12,-14.1091947555542,-12.33871078491211,1
where do the blood vessels that supply the retinal cells lie,optic nerve,In the optic nerve,15,-7.694060325622559,-9.80514144897461,0
who is responsible for introducing the principle of uniformitarianism,James Hutton,Charles Lyell,14,-11.185965538024902,-14.600423812866211,0
who was the actor who played grizzly adams,"""Dan"" Haggerty",Clint Eastwood,13,-13.01319408416748,-14.12179946899414,0
who owns the delano hotel in las vegas,MGM Resorts International,Sheldon Adelson,13,-12.816671371459961,-13.868842124938965,0
who is the owner of the crowne plaza,InterContinental Hotels Group,Richard Branson,12,-13.546331405639648,-13.030016899108887,1
what is the location at the end of minority report,an undisclosed location,New York City,13,-7.617059230804443,-8.025217056274414,0
who won the 2017 women's wimbledon final,Garbiñe Muguruza,Maria Sharapova,13,-20.519620895385742,-18.260061264038086,1
what part of maryland is close to washington dc,Charles County,Annapolis,15,-9.556387901306152,-10.929557800292969,0
who invented the chip in. debit cards,Helmut Gröttrup,Bill Gates,11,-13.177499771118164,-9.655769348144531,1
who proposed evolution in 1859 as the basis of biological development,Alfred Russel Wallace,Charles Darwin,15,-18.008668899536133,-8.436920166015625,1
who sang raindrops keep fallin on my head,B. J. Thomas,Frank Sinatra,13,-9.523262023925781,-16.07479476928711,0
how many countries participated for the first time in the 2014 olympic winter games in sochi,Brazil,15 countries,22,-6.9703521728515625,-9.544419288635254,0
what is the name of a camel with 2 humps,Bactrian,Dromedary,14,-12.661630630493164,-12.294727325439453,1
a 58-story skyscraper in san francisco is tilting and sinking,Millennium Tower,Transamerica Pyramid,18,-9.763689041137695,-15.175643920898438,0
when does the men's worlds curling start,March 31,March 1st,12,-11.363153457641602,-9.178971290588379,1
who were the three elves who got rings,Círdan,"Legolas, Gimli, and Arwen",11,-14.210918426513672,-14.175034523010254,1
when did the movie breakfast club come out,"February 15, 1985",1982,11,-10.609800338745117,-11.485797882080078,0
who sang the song how far is heaven,Los Lonely Boys,Shania Twain,11,-9.80554485321045,-14.026198387145996,0
where did zendaya place in dancing with the stars,Runner-up,3rd place,14,-10.98934555053711,-8.658670425415039,1
when does sloan come into grey's anatomy,season two,Season 4,12,-8.540899276733398,-8.914058685302734,0
how many countries are a part of opec,14,15 countries,12,-9.866310119628906,-9.187068939208984,1
when does buffy tell her friends she was in heaven,Something to Sing About,Season 7,14,-9.342540740966797,-10.04580020904541,0
when did the nba start playing zone defense,2002,1995,12,-10.168327331542969,-9.048310279846191,1
how many plane surfaces does a cylinder have,two parallel planes,3 plane surfaces,11,-7.7130279541015625,-9.01919937133789,0
who plays max voice in a goofy movie,Jason Marsden,Tom Hanks,11,-12.16723918914795,-12.501026153564453,0
when did ford change the f150 body style,the 2009 model year,2005,13,-8.271591186523438,-8.678702354431152,0
who played scotty baldwins father on general hospital,Ross Elliott,Robert De Niro,15,-9.795568466186523,-12.7950439453125,0
when was the miraculous journey of edward tulane published,2006,2004,14,-10.229803085327148,-9.893832206726074,1
who is the current defence against the dark arts teacher,Amycus Carrow,Remus Lupin,13,-10.589454650878906,-14.146280288696289,0
what type of snake is kaa in jungle book,Indian rock python,Rattlesnake,13,-8.47251033782959,-16.151416778564453,0
when does ellen's new game show start,"December 18, 2017",January 2018,12,-9.379756927490234,-9.678938865661621,0
who was the original host of jokers wild,Jack Barry,Alex Trebek,12,-7.936849117279053,-13.401344299316406,0
name the tissue type of the inner most layer of cells,Epithelium,Epithelial tissue,14,-14.561307907104492,-12.182868957519531,1
what city was zeus the patron god of,Olympia,Rome,12,-7.2374677658081055,-7.5514655113220215,0
when does the implantation of the embryo occur,around 9 days after ovulation,10 days after conception,12,-11.253606796264648,-10.11400318145752,1
who is the richest club in the championship,Manchester City,Leeds United,11,-7.628167152404785,-7.624581336975098,1
when is the opening ceremonies of the olympics 2018,9 February 2018,February 10th,14,-9.146503448486328,-9.228525161743164,0
who has said that caste is a closed class,Frederik Barth,Karl Marx,12,-14.404718399047852,-10.562796592712402,1
all time highest goal scorer in spain national team,David Villa,Fernando Torres,13,-10.881686210632324,-10.65479564666748,1
where is the snooker world open currently held,Hainan International Exhibition Center,London,13,-10.126082420349121,-7.356840133666992,1
where does iron ore come from in australia,Western Australia,The Outback,13,-8.38063907623291,-13.7120361328125,0
when did the first pokemon game come out,October 2000,1994,11,-11.042375564575195,-10.857528686523438,1
who plays jill bigelow in line of duty,Polly Walker,Emma Watson,14,-10.169424057006836,-11.365066528320312,0
what do you say when you win bingo,Yes,"""Victory is mine!""",12,-7.596299171447754,-12.3451566696167,0
who rebuilt the temple after the babylonian captivity,Herod,Julius Caesar,13,-7.203698635101318,-7.304893493652344,0
who won the 10m air pistol gold medal at commonwealth shooting championship in brisbane australia,Shahzar Rizvi,Chris Hemsworth,24,-10.828178405761719,-14.77862548828125,0
philadelphia is known as the city of what,City of Brotherly Love,The City of Cheesesteaks,12,-10.429094314575195,-12.09021282196045,0
who is the supreme court judge was a former chief justice of kerala high court,Konakuppakatil Gopinathan Balakrishnan,Justice Ravi Shankar,19,-10.03413200378418,-9.987762451171875,1
who is the young man in hawthorne's my kinsman major molineux,Robin,Thomas Hawthorne,20,-7.445771217346191,-14.651423454284668,0
who sings stop listen what's that sound,Buffalo Springfield,Elvis Presley,11,-7.992836952209473,-13.446966171264648,0
where does the red badge of courage take place,the field of battle,"Paris, France",12,-9.220256805419922,-7.774745941162109,1
what is the first step in the evolution of the eye,photoreceptor proteins that sense light,Formation of light-sensitive cells,14,-12.638527870178223,-11.171211242675781,1
who came up with the first working periodic table,Dmitri Mendeleev,Albert Einstein,12,-18.40442657470703,-7.549148082733154,1
who used morse code in world war 2,naval bases,The British Royal Family,12,-9.197218894958496,-9.289052963256836,0
where was the first season of slasher filmed,"Orangeville, Ontario, Canada","New York City, USA",12,-9.687149047851562,-8.920923233032227,1
who are you in assassin's creed 4,third-person perspective,Captain Jack Sparrow,11,-9.319005966186523,-9.517729759216309,0
where do the events in the story take place geographically,Persia,The Amazon Rainforest,13,-8.752802848815918,-10.311148643493652,0
what is a dropped pin on google maps for,marks locations in Google Maps,To mark a favorite location,12,-8.43578052520752,-9.829957008361816,0
who was the movie citizen kane based on,William Randolph Hearst,Charlie Chaplin,12,-13.511846542358398,-11.970324516296387,1
who was the ottoman governor who led egypt in the years following the napoleonic wars,Husrev Pasha,Mustafa Kemal Atatürk,23,-13.225567817687988,-14.344749450683594,0
which is the first private medical college in kerala,"Government Medical College, Thiruvananthapuram",St,13,-13.230891227722168,-8.28316879272461,1
who did the chiefs play in the playoffs,the Tennessee Titans,The New York Yankees,11,-8.252154350280762,-9.387989044189453,0
what is the time setting of game of thrones,medieval,The Medieval Renaissance,13,-6.343313217163086,-8.868555068969727,0
who has access to the presidential daily briefing,National Security Advisor,The President's family members,11,-9.218605041503906,-9.555806159973145,0
who played buffy the vampire slayer in the movie,Kristy Swanson,Angelina Jolie,14,-12.419746398925781,-13.748981475830078,0
who is ranked 1 in women's tennis,Simona Halep,Serena Williams,11,-22.264755249023438,-13.652990341186523,1
who won the mens curling in the olympics 2018,United States,The Brazilian team,16,-10.741636276245117,-7.7951178550720215,1
where does what in the sam hill come from,simple bowdlerization,"Samuel Hill, an American entrepreneur",12,-11.329821586608887,-7.894268035888672,1
who defeated the last remaining roman army in europe,Goths,Genghis Khan,14,-10.467007637023926,-11.065657615661621,0
the temperature of gas is proportional to the,volume,The number of atoms,11,-6.836426734924316,-9.074204444885254,0
who's flag is red white and green,Hungary,Italy,11,-7.3837080001831055,-7.591436386108398,0
country with most olympic gold medals all time,United States,Brazil,13,-11.541902542114258,-7.469691276550293,1
who proposed the virginia plan at the constitutional convention,Madison,Benjamin Franklin,13,-7.8603644371032715,-7.787346839904785,1
who plays yoda in revenge of the sith,Frank Oz,Tom Hanks,13,-12.328307151794434,-11.396602630615234,1
who was the bad guy in silence of the lambs,Buffalo Bill,Dracula,14,-5.383397579193115,-7.100462436676025,0
who become the ceo of it wipro company in 2016,Abid Ali Neemuchwala,Bill Gates,15,-11.759305000305176,-8.630805969238281,1
actress who plays brad pitts wife in war machine,Meg Tilly,Jennifer Aniston,15,-16.304645538330078,-15.374789237976074,1
who comes after the president if he dies,vice president,The Secretary of State,11,-8.698573112487793,-9.942834854125977,0
who plays the protagonist peter rabbit in the 2018 motion picture release,James Corden,Ryan Reynolds,16,-12.575441360473633,-10.011693954467773,1
where was the movie i am number 4 filmed,the Pittsburgh metropolitan area,"Toronto, Canada",12,-7.07475471496582,-7.3753790855407715,0
when did the granite mountain hotshots get certified,2008,2005,12,-9.331836700439453,-9.91166877746582,0
when did brent barry won the dunk contest,1996,2003,13,-10.265899658203125,-10.171154975891113,1
what is the purpose of a jake brake,slowing the vehicle,To help cars fly,12,-10.000754356384277,-10.844510078430176,0
who sings in everybody dies in their nightmares,XXXTentacion,Frank Sinatra,11,-15.80269718170166,-15.733543395996094,1
